[0.156s] Invoking command in '/home/rose/ros_project/ros_ws/build/myrobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/rose/ros_project/ros_ws/build/myrobot_description -- -j8 -l8
[0.211s] Invoked command in '/home/rose/ros_project/ros_ws/build/myrobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/rose/ros_project/ros_ws/build/myrobot_description -- -j8 -l8
[0.219s] Invoking command in '/home/rose/ros_project/ros_ws/build/myrobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/rose/ros_project/ros_ws/build/myrobot_description
[0.226s] -- Install configuration: ""
[0.227s] -- Execute custom install script
[0.228s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/launch/__pycache__/display_robot.launch.cpython-310.pyc
[0.229s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/launch/__pycache__/gazebo_sim.launch.cpython-310.pyc
[0.229s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/launch/display_robot.launch.py
[0.229s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/launch/gazebo_sim.launch.py
[0.230s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/first_robot.gv
[0.230s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/first_robot.pdf
[0.230s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/first_robot.urdf
[0.231s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/first_robot.xacro
[0.231s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/actuator/caster.urdf.xacro
[0.232s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/actuator/wheel.urdf.xacro
[0.232s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/base.urdf.xacro
[0.232s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/common_inertia.xacro
[0.233s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/myrobot.ros2_control.xacro
[0.233s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/myrobot.urdf.xacro
[0.233s] -- Up-to-date symlink: /home/rose/ros_project/ros_ws/install/myrobot_description/share/myrobot_description/urdf/myrobot/plugins/gazebo_control_plugins.xacro
